id,market_id,name,city,state,county,event_type,cadence,is_recurring_venue,food_truck_friendly,trip_type,verification_status,needs_confirmation,distance_from_columbia_mi,month,typical_dates,attendance_estimate,attendance_text,food_vendor_fee,application_method,contact_name,contact_email,contact_phone,homepage_url,primary_source_url,lat,lng,notes,last_verified
20,10,Nebraska State Fair,Grand Island,NE,Hall,state_fair,annual,false,concession_friendly,overnight,verified,false,419,Aug-Sep,Aug 28 - Sep 7 (ends Labor Day),,Large,Greater of $600 guarantee OR 18% of gross less sales tax per location (guarantee due before Jul 1); free to apply,"Embedded online application - pick ""Concession (food or beverage)""",Keaton Irwin,kirwin@statefair.org,308-382-1620,statefair.org/food-vendors/vendor-application,statefair.org/food-vendors/vendor-application,40.92640,-98.34200,New application required each year.,2026-06-17
21,9,SeptemberFest Omaha,Omaha,NE,Douglas,festival,annual,false,unconfirmed,overnight,partial,true,340,September,Labor Day weekend (4 days),20000,20000+ festival (~40000 parade),Not researched,See official site,,,,septemberfestomaha.com,septemberfestomaha.com,41.26000,-95.93450,Attendance is self-reported. Confirm exact 2026 dates and vendor application.,2026-06-17
22,4,MO Food Truck Fest,Springfield,MO,Greene,food_truck_rally,annual,false,concession_friendly,overnight,verified,false,165,September,Saturday (Sep 12),,Mid-size,Not researched,Email application,,larry@ozarkempirefair.com,417-833-2660,mofoodtruckfest.wordpress.com,mofoodtruckfest.wordpress.com,37.21075,-93.28927,At Ozark Empire Fairgrounds. As of mid-2026 Taco/BBQ/Sweet categories reportedly booked - hot dog truck may still have an opening.,2026-06-17
23,3,Belleville Oktoberfest,Belleville,IL,St. Clair,oktoberfest,annual,false,concession_friendly,day_trip,verified,false,120,September,Sep 18-20 (2026),,3-day,Not researched,Vendor registration at bellevilleoktoberfest.com,Belleville Chamber of Commerce,,,bellevilleoktoberfest.com,bellevilleoktoberfest.com,38.52350,-89.98400,45th annual; Belleville Public Square.,2026-06-18
24,1,Hermann Harvest Festival,Hermann,MO,Gasconade,festival,annual,false,explicit_yes,day_trip,verified,false,75,September,Sep 26 (10a-5p),,Wine-country crowd ($5 admission),Not researched,Vendor application,,,,visithermann.com/event/hermann-harvest-festival-4,visithermann.com/event/hermann-harvest-festival-4,38.70185,-91.43437,At 231 E 5th St. Explicitly features food trucks + craft vendors.,2026-06-17
25,1,Old Munichburg Oktoberfest,Jefferson City,MO,Cole,oktoberfest,annual,false,explicit_yes,day_trip,verified,false,30,September,Saturday Sep 26,,25th annual (10a-6p),Not researched,Public vendor application PDF,,,,oldmunichburg.com/oktoberfest.html,oldmunichburg.com/oktoberfest.html,38.58020,-92.17350,Historic Southside/Munichburg district. Craft + food vendors + beer/wine garden. Hot dogs already served at the beer garden - strong fit.,2026-06-17
26,2,18th & Vine Arts Festival,Kansas City,MO,Jackson,art_fair,annual,false,explicit_yes,day_trip,verified,false,126,September,Sep 25-27,,Thousands (selects 10 trucks),Fri $125 / Sat $225 / Sun $125 / full weekend $400; no application fee,Dedicated food truck application page,,info@18thandvineartsfest.org,,18thandvineartsfestival.com/foodtruck,18thandvineartsfestival.com/foodtruck,39.09970,-94.57510,Explicitly food-truck-friendly. Historic 18th & Vine Jazz District.,2026-06-17
27,13,Tulsa State Fair,Tulsa,OK,Tulsa,state_fair,annual,false,concession_friendly,overnight,verified,false,346,October,Oct 1-11,,Large,Not researched,Online vendor space app - product/menu/setup photos required (up to 4 files),,,,tulsastatefair.com,tulsastatefair.com,36.15750,-95.99280,REVIEW PROCESS BEGINS MAY 1 - apply early. Expo Square.,2026-06-17
28,17,Celebrate Nashville Cultural Festival,Nashville,TN,Davidson,cultural_fest,annual,false,concession_friendly,overnight,verified,false,480,October,First Saturday (Oct 3),,Large,Food truck space $350; single 10x10 tent $300 (pay after approval),2026 food vendor application,,,,celebratenashville.org/2026-food-vendor-application,celebratenashville.org/2026-food-vendor-application,36.16620,-86.78160,Centennial Park. Outer edge of radius (~480 mi).,2026-06-17
29,1,Hermann Oktoberfest,Hermann,MO,Gasconade,oktoberfest,multi_week,false,concession_friendly,day_trip,verified,false,75,October,All weekends in October,,Wine-country crowds,Not researched,See visithermann.com,,,,visithermann.com/festivals-events,visithermann.com/festivals-events,38.70185,-91.44043,"German food/wine/beer/music every October weekend. Sub-events: Arts & Crafts Fest Oct 11-12, Witches & Wine Oct 16.",2026-06-17
30,1,Hartsburg Pumpkin Festival,Hartsburg,MO,Boone,art_fair,annual,false,concession_friendly,day_trip,verified,false,20,October,Oct 10-11 (9a-5p both days),25000,25000-30000+ (150+ craft vendors),Not researched,Online 2026 vendor application,,,,hartsburgpumpkinfest.com/vendor.php,hartsburgpumpkinfest.com/vendor.php,38.70390,-92.30880,Short drive south along the Katy Trail. Explicitly accepts food vendors. Huge draw for a tiny town - strong opportunity.,2026-06-17
31,15,Arkansas State Fair,Little Rock,AR,Pulaski,state_fair,annual,false,concession_friendly,overnight,verified,false,376,October,Oct 16-25,,Large,"Not researched - requires proof of $1,000,000 general liability insurance",Online application - accepted YEAR-ROUND no deadline,,vendors@asfg.net,501-372-8341,arkansasstatefair.com,arkansasstatefair.com,34.74650,-92.28960,"Pick ""Outside - Food & Beverage."" Needs food menu + electrical (110v/30A to 220v/100A).",2026-06-17
32,1,Living Windows Festival,Columbia,MO,Boone,holiday_market,annual,false,unconfirmed,hometown,verified,true,0,December,First Friday of December (6-8pm),,Downtown holiday crowd,Not researched,Contact The District / Discover the District (discoverthedistrict.com),,events@discoverthedistrict.com,,discoverthedistrict.com,discoverthedistrict.com,38.94995,-92.33713,"Downtown holiday window-display stroll, first Friday of December (6-8pm) — confirm food-truck fit.",2026-06-18
33,1,Roots N Blues / Treeline,Columbia,MO,Boone,festival,annual,false,excluded,hometown,defunct,false,0,September,N/A,,N/A,N/A,N/A,N/A,,,,N/A,38.95345,-92.33713,Both Roots N Blues and successor Treeline are dead (funds squandered). No major music festival in Columbia MO at this time.,2026-06-17
34,6,World Food & Music Festival,Des Moines,IA,Polk,music_fest,annual,false,explicit_yes,overnight,verified,false,200,August,Aug 28-30,100000,"~100,000-125,000",Not researched,Food/food-truck application form,,aregole@downtownDSMUSA.com,,dsmpartnership.com/worldfoodandmusicfestival,dsmpartnership.com/worldfoodandmusicfestival,41.58680,-93.62150,Des Moines hub. Western Gateway Park. Food trucks explicitly invited. STANDOUT.,2026-06-17
35,6,Beaverdale Fall Festival,Des Moines,IA,Polk,festival,annual,false,concession_friendly,overnight,verified,false,200,September,Sep 18-19,,15+ food trucks,Not researched,EventHub application,,vendors@fallfestival.org,,fallfestival.org,fallfestival.org,41.58330,-93.62500,"Des Moines hub. Strict terms ($1M insurance, IA temp food license, Beaver Bucks).",2026-06-17
36,6,Iowa's Latino Heritage Festival,Des Moines,IA,Polk,cultural_fest,annual,false,concession_friendly,overnight,verified,false,200,September,Sep 26-27,,Large (2-day),Not researched,Online vendor form (apply from Feb 1),,Director@latinoheritagefestival.org,,latinoheritagefestival.org,latinoheritagefestival.org,41.58680,-93.62850,Des Moines hub. Western Gateway Park. Tented food booths (concession). Apply early.,2026-06-17
37,8,Freedom FEASTival,Cedar Rapids,IA,Linn,food_truck_rally,annual,false,explicit_yes,overnight,verified,false,255,June,Jun 11 (11a-7p),,Food-truck-centric,Not researched,See festival,,,,freedomfestival.com/feastival,freedomfestival.com/feastival,41.98140,-91.66560,Cedar Rapids hub. Greene Square Park. Food trucks are the whole premise. STANDOUT.,2026-06-17
38,8,NewBo City Market Food Truck Tuesdays,Cedar Rapids,IA,Linn,food_truck_rally,weekly,true,concession_friendly,overnight,verified,false,255,May-Aug (weekly),Tue 11a-2p,,3 trucks/week,Not researched,MarketSpread (market #34877),,,,newbocitymarket.org/food-truck-tuesdays,newbocitymarket.org/food-truck-tuesdays,41.97615,-91.66257,Cedar Rapids hub. Recurring weekday slot - cluster filler. Bring generator.,2026-06-17
39,8,Anamosa Pumpkinfest,Anamosa,IA,Jones,festival,annual,false,concession_friendly,overnight,verified,false,280,October,Oct 3,,Dozens of vendors,Not researched,Google Form,,,,anamosapumpkinfest.com,anamosapumpkinfest.com,42.10830,-91.28490,~27 mi from Cedar Rapids. Concession-friendly fall festival.,2026-06-17
40,7,Bettendorf 4th of July Festival,Bettendorf,IA,Scott,festival,annual,false,concession_friendly,overnight,verified,false,270,July,Jul 4 (noon-10p),,14-15 food vendors,Not researched,Confirm with city (no open app published),,,,bettendorf.org/community/street_fest_vendors,bettendorf.org/community/street_fest_vendors,41.55560,-90.49510,Quad Cities hub. Spruce Hills Dr. Free city festival.,2026-06-17
41,7,Alternating Currents,Davenport,IA,Scott,festival,annual,false,unconfirmed,overnight,verified,false,270,August,Aug 13-16,,Large (40+ venues),Not researched,Contact organizers,,,,alternatingcurrentsqc.com,alternatingcurrentsqc.com,41.52010,-90.57760,Quad Cities hub. Music/film/comedy/art. Confirm food-vendor logistics directly.,2026-06-17
42,7,Marketplace at 2500,Moline,IL,Rock Island,venue,year_round,true,concession_friendly,overnight,verified,false,270,Year-round,Rotating daily,,Food truck park,Not researched,Request a spot via form,,marketplaceat2500@gmail.com,,marketplaceat2500.com,marketplaceat2500.com,41.50670,-90.51510,Quad Cities hub. Permanent food-truck court - recurring booking venue.,2026-06-17
43,8,Northside Oktoberfest & Iowa City BrewFest,Iowa City,IA,Johnson,oktoberfest,annual,false,unconfirmed,overnight,verified,false,240,September,Late Sep,,Brewfest,Not researched,See festival,,,,northsideiowacity.org,northsideiowacity.org,41.66110,-91.53020,Cedar Rapids/Iowa City hub. Food-vendor angle weak - confirm before relying. 2026 date unverified.,2026-06-17
44,8,Cedar Rapids Downtown Farmers Market,Cedar Rapids,IA,Linn,farmers_market,annual,false,concession_friendly,overnight,verified,false,255,May-Sep,Sat 7:30a-12p,,Major weekend draw,Not researched,Metro Economic Alliance,,,,cedar-rapids.org,cedar-rapids.org,41.97615,-91.66863,Cedar Rapids hub. Large Sat market - investigate prepared-food/food-truck slots.,2026-06-17
45,3,O'Fallon Food Truck Frenzy / Fright,O'Fallon,MO,St. Charles,food_truck_rally,annual,false,concession_friendly,day_trip,verified,false,110,May/Oct,Frenzy May 29 + Oct 9; Fright Oct,,Food-truck showcase,Not researched,Tourism & Festivals dept (confirm app path),,jchwascinski@ofallonmo.gov,636-379-5502,ofallon.mo.us/food-truck-frenzy,ofallon.mo.us/food-truck-frenzy,38.81060,-90.69980,STL hub. Dames Park. Dedicated food-truck events since 2014. STANDOUT.,2026-06-17
46,3,Dardenne Prairie Summer Concert & Food Truck Rally,Dardenne Prairie,MO,St. Charles,food_truck_rally,multi_week,false,concession_friendly,day_trip,verified,false,115,May-Sep,Select Fridays 6:30-9:30p,,Food truck rally,Not researched,Parks & Rec,,nichole@dardenneprairie.org,636-755-5308,dardenneprairie.org,dardenneprairie.org,38.75950,-90.73070,"STL hub. City Hall Park. 2026: Jun 26, Aug 21, Sep 26. STANDOUT.",2026-06-17
47,3,Festival of the Little Hills,St. Charles,MO,St. Charles,festival,annual,false,unconfirmed,day_trip,verified,false,100,August,3rd full weekend,350000,"~350,000",Not researched,"Food Committee (apps at Apr/May meetings, due May 31)",,food@festivalofthelittlehills.com,,festivalofthelittlehills.com,festivalofthelittlehills.com,38.78810,-90.49740,STL hub. Historic Main St + Frontier Park. CAVEAT: favors LOCAL non-profits.,2026-06-17
48,3,Collinsville Italian Fest,Collinsville,IL,Madison,cultural_fest,annual,false,concession_friendly,day_trip,verified,false,120,September,Sep 18-19,,30+ food vendors,Not researched,Food Vendor Application PDF (deadline Aug 1),Collinsville Chamber,,,italianfest.net/food,italianfest.net/food,38.67030,-89.98460,STL Metro East hub. CAVEAT: prioritizes LOCAL vendors with Italian menus.,2026-06-17
49,3,Highland Schweizerfest,Highland,IL,Madison,oktoberfest,annual,false,concession_friendly,day_trip,verified,false,120,June,Jun 12-14,,Carnival + vendors,Not researched,Highland Jaycees / Chamber,,,618-654-3721,highlandil.gov,highlandil.gov,38.73920,-89.67120,STL Metro East hub. Downtown square. Active food/drink vendors.,2026-06-17
50,3,Belleville Art on the Square,Belleville,IL,St. Clair,festival,annual,false,concession_friendly,day_trip,verified,false,120,May,May 15-17,100,100+ artists,Not researched,ZAPP / festival,,,,artonthesquare.com,artonthesquare.com,38.51650,-89.98400,STL Metro East hub. CAVEAT: juried ART fair with food vendors - NOT a food-truck venue.,2026-06-17
51,3,Land of Goshen Community Market,Edwardsville,IL,Madison,farmers_market,annual,false,concession_friendly,day_trip,verified,false,110,May-Oct,Sat,,~60 vendors,Not researched,Food Vendor Regulations (Temp Food Service),,,,goshenmarket.org/participate-vendors,goshenmarket.org/participate-vendors,38.80790,-89.95320,STL Metro East hub. Producer-focused farmers market; prepared food accommodated.,2026-06-17
52,3,Wentzville Days Fair & Music Festival,Wentzville,MO,St. Charles,county_fair,annual,false,concession_friendly,day_trip,verified,false,95,May,May 15-17,,Community festival,Not researched,Parks & Rec,,,,wentzvillemo.gov,wentzvillemo.gov,38.81140,-90.85290,STL hub. Historic Downtown Wentzville. Food/drink/craft vendors (program less certain).,2026-06-17
53,4,Missouri Cherry Blossom Festival,Marshfield,MO,Webster,cultural_fest,annual,false,concession_friendly,day_trip,verified,false,144,April,Apr 23-26,,Festival,Not researched,2026 vendor app PDF,Webster County Health Unit,,417-859-2532,cherryblossomfest.com,cherryblossomfest.com,37.33890,-92.90740,Springfield/Ozarks hub. ~27 mi from Springfield. Liability insurance required.,2026-06-17
54,4,Ozarks Food Truck Rally,Springfield,MO,Greene,food_truck_rally,annual,false,explicit_yes,overnight,verified,false,165,May-June,Late May/early Jun (11a-7p),,20+ trucks,Not researched,Email application,,Larry@ozarkempirefair.com,417-833-2660,ozarkempirefair.com,ozarkempirefair.com,37.20725,-93.28927,Springfield hub. Ozark Empire Fairgrounds. Hot dogs explicitly featured. STANDOUT. Distinct from MO Food Truck Fest.,2026-06-17
55,4,Laclede County Fair,Lebanon,MO,Laclede,county_fair,annual,false,unconfirmed,overnight,verified,false,155,July,Jul 4-11,,County fair,Not researched,Confirm food slot,,,,lacledecountyfair.org,lacledecountyfair.org,37.68060,-92.66380,Springfield/Ozarks hub. Food-truck slot NOT independently verified - confirm.,2026-06-17
56,4,Ozark Empire Fair,Springfield,MO,Greene,county_fair,annual,false,concession_friendly,overnight,verified,false,165,Jul-Aug,Jul 30-Aug 8,150000,"150,000+",Not researched,Vendor app/handbook,,larry@ozarkempirefair.com,417-833-2660,ozarkempirefair.com/p/fair/vendors,ozarkempirefair.com/p/fair/vendors,37.20550,-93.29230,Springfield hub. Largest annual event in the Ozarks. Food trucks solicited. STANDOUT.,2026-06-17
57,4,Republic Pumpkin Daze,Republic,MO,Greene,festival,annual,false,concession_friendly,overnight,verified,false,175,October,Oct 2-3,300,300+ booths,Not researched,"Brushfire (opens Jun 1, thru Sep 1)",,vendors@republicpumpkindaze.com,,republicpumpkindaze.com,republicpumpkindaze.com,37.11980,-93.47990,Springfield/Ozarks hub. J.R. Martin Park. 35th annual. Food trucks.,2026-06-17
58,4,Ozark Craft Fair,Ozark,MO,Christian,craft_fair,annual,false,concession_friendly,overnight,verified,false,175,October,Oct 2-4,350,350+ vendors,Not researched,GFWC Utopia Club,,,,ozarkcraftfair.com,ozarkcraftfair.com,37.02110,-93.20600,Springfield/Ozarks hub. Finley River Park. 52nd annual. Food vendors.,2026-06-17
59,4,417 Christmas Market,Springfield,MO,Greene,holiday_market,annual,false,unconfirmed,overnight,verified,false,165,December,Dec (dates unconfirmed),200,200+ vendors,Not researched,Springfield Expo Center,,,417-522-1160,springfieldexpo.com,springfieldexpo.com,37.20725,-93.29533,Springfield hub. 200+ vendors + food trucks. Exact 2026 dates UNCONFIRMED.,2026-06-17
60,4,Branson Market Days / Hometown Market Days,Branson,MO,Taney,farmers_market,multi_week,false,concession_friendly,overnight,verified,false,205,Twice yearly,2-day,250,250+ booths,$400 food-truck space,Food vendor application,,,,bransonmarketdays.com/apply-food-vendor,bransonmarketdays.com/apply-food-vendor,36.64370,-93.21850,Springfield/Ozarks hub. CAVEAT: caps at only 3 food trucks. Taney County permit required.,2026-06-17
61,4,Third Thursday,Joplin,MO,Jasper,festival,monthly,false,concession_friendly,day_trip,verified,false,140,Mar-Oct (monthly),3rd Thu 5:30-8:30p,5000,"5,000-8,000/month",Not researched,Monthly food-vendor process (Health Dept 417-623-6122),,,,downtownjoplin.com/thirdthursday,downtownjoplin.com/thirdthursday,37.08420,-94.51330,Springfield/Ozarks hub (Joplin). 100-150 vendors. STANDOUT for repeatable attendance.,2026-06-17
62,4,Food Truck Friday (Central Park),Carthage,MO,Jasper,food_truck_rally,monthly,false,explicit_yes,day_trip,verified,false,140,Apr-Sep (monthly),2nd Fri 11a-9p,,Food-truck-centered,Not researched,Vendor page,,m.little@carthagemo.gov,417-423-8075,visitcarthage.com/foodtruckfriday,visitcarthage.com/foodtruckfriday,37.17990,-94.31020,Springfield/Ozarks hub. Food trucks are 'the main event.' ~17 mi NE of Joplin.,2026-06-17
63,4,Hold Fast Brewing,Springfield,MO,Greene,venue,year_round,true,concession_friendly,overnight,verified,false,165,Year-round,Near-daily,,Brewery rotation,Not researched,Direct outreach (no app link),,,,hfbrewing.com/food-truck-schedule,hfbrewing.com/food-truck-schedule,37.21075,-93.29533,Springfield hub. ~35 food-truck slots/month. Informal booking - cluster filler.,2026-06-17
64,2,Crossroads First Fridays,Kansas City,MO,Jackson,food_truck_rally,monthly,true,explicit_yes,day_trip,verified,false,125,Apr-Oct (monthly),1st Fri 5-9p,10000,"10,000+/month",~$200/event,Eventeny,,hello@artgardenkc.org,,kccrossroads.org/first-fridays,kccrossroads.org/first-fridays,39.09620,-94.57860,KC hub. Art Garden KC. 20-truck Food Truck Plaza. STANDOUT for frequency. (Jul = Night Market).,2026-06-17
65,2,Lenexa Food Truck Frenzy,Lenexa,KS,Johnson,food_truck_rally,annual,false,concession_friendly,day_trip,verified,false,130,Jul & Sep,Jul 18 + Sep 19,,Food-truck showcase,Not researched,Lenexa Parks & Rec form,,,,lenexa.com/City-Calendar/Annual-Events/Food-Truck-Frenzy,lenexa.com/City-Calendar/Annual-Events/Food-Truck-Frenzy,38.95710,-94.73360,KC hub. 'The metro's best food trucks.' STANDOUT truck-native event.,2026-06-17
66,2,Parkville Days,Parkville,MO,Platte,festival,annual,false,concession_friendly,day_trip,verified,false,125,August,Late Aug (~Aug 21-23),,75+ vendors,Not researched,Main St Parkville Assoc (food-truck tier),,parkvilleevents@gmail.com,,parkvillemo.org/whatsgoingon/parkville-days,parkvillemo.org/whatsgoingon/parkville-days,39.19500,-94.68220,KC hub. Dedicated 'Major Food - Concession or Food Truck' tier. Platte County permit.,2026-06-17
67,2,Santa-Cali-Gon Days,Independence,MO,Jackson,festival,annual,false,concession_friendly,day_trip,verified,false,120,September,Sep 4-7 (Labor Day),300000,"~300,000",Not researched,Open vendor application,,valerie@ichamber.biz,816-800-2642,santacaligon.com,santacaligon.com,39.09110,-94.41550,KC hub. Historic Independence Square. Open food vending. STANDOUT for scale.,2026-06-17
